scenario,agent,num_runs,guard_delta,safety_margin,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,time_to_mastery_mean,time_to_mastery_std
strict_margin_008,PianoMPC,10,0.08,0.08,0.00242707361056873,0.001560012713404985,0.48783302294839065,0.03653862195583803,0.07928597712086836,0.02680537672928718,0.9207140228791316,0.026805376729287025,0.0075478786858097216,0.00846313202703904,0.27783402775165356,0.0585424750600293,26.76666666666667,14.85159828114485
strict_margin_008,BayesianMAB,10,0.08,0.08,0.003856032328806906,0.002558077851745761,0.43668086538860007,0.1467782555274128,0.08245341537544627,0.024888079882833494,0.9175465846245537,0.024888079882833557,0.15195233885483056,0.009564356042399656,0.3239557857460512,0.06111911305088542,32.63333333333333,7.833244225619054
strict_margin_008,CCB-DF,10,0.08,0.08,0.004597273212112901,0.001131849807312353,0.47349971056482715,0.11093044551388152,0.09102874988402353,0.0020627888164749734,0.9089712501159765,0.0020627888164750324,0.2916012432901272,0.01948342096858197,0.43785723475088134,0.04304700626459546,44.26666666666666,7.209707763744504
strict_margin_008,LinUCB,10,0.08,0.08,0.00016852069384678124,0.00025489865390347497,0.44986840036997283,0.1034718873696975,0.007964546460923273,0.014635697182175549,0.9920354535390766,0.014635697182175438,0.14115920693889442,0.027891847519257846,0.21527535492944816,0.03302191599105805,44.866666666666674,12.652855718405627
strict_margin_008,Thompson,10,0.08,0.08,0.0037789337441639444,0.0022674306020085007,0.4700978599188388,0.11013293784905627,0.07750552164776511,0.05638331707327593,0.9224944783522347,0.05638331707327591,0.23209169979971891,0.02206860545059922,0.3907571902291633,0.03597353911443455,40.43333333333333,5.752982627819139
strict_margin_008,Safe-AC,10,0.08,0.08,0.004607201233897462,0.00036357751792945157,0.460497341349517,0.07269043488556834,0.08418849701245674,0.01670002458404582,0.9158115029875432,0.01670002458404588,0.1926890978235827,0.022603150271180022,0.3526710657652405,0.04446848975157387,39.63333333333333,18.292319313325258
strict_delta005_margin010,PianoMPC,10,0.05,0.1,0.0029631398495936867,0.003227849539453276,0.4912021049336028,0.05663282251911984,0.07873974514145761,0.07400812920700331,0.9212602548585425,0.0740081292070033,0.014253183880766365,0.01988267374690305,0.30548762306410593,0.15776762090245994,27.96666666666667,8.336987233025692
strict_delta005_margin010,BayesianMAB,10,0.05,0.1,0.0020336196966400082,0.000889489057639195,0.4142771315917438,0.12936084473236928,0.04538219189131378,0.02237912346656192,0.9546178081086861,0.022379123466561922,0.1395425957084806,0.04261217758637189,0.2960298496204072,0.08171712393727833,32.03333333333333,4.6096208074067535
strict_delta005_margin010,CCB-DF,10,0.05,0.1,0.0017689432363195993,0.0014834740147558875,0.44909867203463727,0.10797589401710869,0.05254174251082481,0.012965076748373465,0.9474582574891753,0.01296507674837384,0.29313481276991804,0.019118763195359392,0.41266926970770273,0.06931968128652174,45.4,2.1224481912816273
strict_delta005_margin010,LinUCB,10,0.05,0.1,9.400293450713625e-05,6.905657555868975e-05,0.43597252719807517,0.11876109283711615,0.0062560579787470545,0.010256134253248195,0.9937439420212529,0.010256134253248297,0.1489976697883314,0.01977577874258319,0.24641821407676012,0.020717386534134675,46.56666666666666,8.769862275348347
strict_delta005_margin010,Thompson,10,0.05,0.1,0.002433027518941705,0.0009424411853638322,0.4612310014355964,0.11660844498292648,0.06388216344493028,0.011126291022331064,0.9361178365550696,0.011126291022331182,0.2360743088319244,0.02911407289293852,0.41032358333033553,0.056586219575131574,42.800000000000004,16.952306148532152
strict_delta005_margin010,Safe-AC,10,0.05,0.1,0.002099346168601225,0.002664189159758617,0.4415337556668697,0.06758491996886479,0.04983924858542802,0.047358619928218916,0.9501607514145719,0.04735861992821868,0.20228959141001945,0.03670202697688894,0.352001910941865,0.13098481473981646,39.53333333333333,11.546119585799087
