agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,balanced,1380969206,10,3,0.0,0,False,15,15,True,False,safe,0.0,0,0.06,0.06,,0.174,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,1,False,15,15,True,False,safe,-5.0,0,0.12,0.12,,0.174,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,2,False,18,18,True,False,relaxed,0.5026178533800256,0,0.174,0.174,,0.174,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,3,False,24,18,False,True,rest_fallback,0.03964420586201704,0,0.0,0.174,,0.16799999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,4,False,15,15,True,False,safe,1.3360162362508454,0,0.06,0.174,,0.16799999999999998,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,5,False,18,18,True,False,safe,0.8196346807112959,0,0.11399999999999999,0.174,,0.16799999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,6,False,18,18,True,False,safe,0.7484597158049455,0,0.16799999999999998,0.174,,0.16799999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,7,False,24,18,False,True,rest_fallback,0.9726065378216419,0,0.0,0.174,,0.16799999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,8,False,18,18,True,False,safe,1.9947861994810154,0,0.054,0.174,,0.22199999999999998,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,9,True,15,15,True,False,safe,2.448553402417668,0,0.11399999999999999,0.174,,0.22199999999999998,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,10,True,18,18,True,False,relaxed,2.819281948220931,0,0.16799999999999998,0.174,,0.22199999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,11,True,18,18,True,False,relaxed,1.5754786181189677,0,0.22199999999999998,0.22199999999999998,,0.22199999999999998,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,12,True,24,18,False,True,rest_fallback,-0.4727204837139529,0,0.0,0.22199999999999998,,0.162,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,13,True,18,18,True,False,safe,0.5994897478830364,0,0.054,0.22199999999999998,,0.216,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,14,True,18,18,True,False,safe,2.2092641609544095,0,0.108,0.22199999999999998,,0.216,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,15,True,18,18,True,False,safe,1.9650891720371364,0,0.162,0.22199999999999998,,0.216,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,16,True,18,18,True,False,safe,0.8127216780524225,1,0.216,0.22199999999999998,,0.216,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,17,True,15,15,True,False,safe,0.0,0,0.06,0.22199999999999998,,0.174,0.25,0.25,True,True,,False,0,0
pianoMPC,balanced,1380969206,10,3,0.0,18,True,15,15,True,False,safe,-5.0,0,0.12,0.22199999999999998,,0.174,0.25,0.25,True,True,,False,0,0
