scenario,threshold_scale,threshold_value,mastery_window,agent,time_to_mastery_mean,time_to_mastery_std,feasible_rate_mean,feasible_rate_std,avg_fatigue_mean,avg_fatigue_std,kendall_tau
threshold,0.8,0.6000000000000001,3,PianoMPC,23.1,3.4785054261852175,0.936048285048285,0.03513743093640855,0.40252811777695996,0.021638305000128366,1.0
threshold,0.8,0.6000000000000001,3,CCB-DF,38.7,10.22035007010795,0.9499885748759713,0.017289822553997563,0.37774460606356597,0.022182086022555638,1.0
threshold,0.8,0.6000000000000001,3,BayesianMAB,32.6,12.203824537141351,0.9258968935340717,0.0873959521930086,0.36464217231296636,0.08294581095262818,1.0
threshold,0.9,0.675,3,PianoMPC,24.0,2.9059326290271157,0.9130739228565317,0.041984195423720276,0.46675086298564583,0.017095347830871882,1.0
threshold,0.9,0.675,3,CCB-DF,35.4,5.92921205182911,0.928416498425986,0.056157865683656515,0.44987633681756084,0.02989342094182828,1.0
threshold,0.9,0.675,3,BayesianMAB,31.6,7.862710869809612,0.8978234141769545,0.06540575267616493,0.44962867211742175,0.06556563862600989,1.0
threshold,1.0,0.75,3,PianoMPC,22.5,2.5055493963954847,0.9296874019700108,0.06079142231640841,0.5003240244055464,0.027831926192565633,1.0
threshold,1.0,0.75,3,CCB-DF,45.0,6.815016100086957,0.9311365449892728,0.048165850766327234,0.5205513500655152,0.0345076508798205,1.0
threshold,1.0,0.75,3,BayesianMAB,32.7,9.78717982305878,0.9169739693332264,0.05898912653370628,0.5007121624193156,0.10563638448636478,1.0
threshold,1.1,0.8250000000000001,3,PianoMPC,24.8,3.9944405810520647,0.9403226915953787,0.05330797276589214,0.5497119841282571,0.02932364076133124,1.0
threshold,1.1,0.8250000000000001,3,CCB-DF,43.6,10.035492569431314,0.9349512930784465,0.03205004745591168,0.5895655491516202,0.019119210924940868,1.0
threshold,1.1,0.8250000000000001,3,BayesianMAB,35.5,10.40566085252531,0.9227437142789554,0.04321414949138925,0.5608351687012255,0.06641999736793819,1.0
threshold,1.2,0.8999999999999999,3,PianoMPC,25.3,5.578729445153459,0.9581201361181076,0.03370122616789905,0.5888128522132295,0.03598003789194373,1.0
threshold,1.2,0.8999999999999999,3,CCB-DF,42.4,8.669230390037836,0.9374970456878877,0.03559455123156837,0.6489882903079002,0.02283171432685233,1.0
threshold,1.2,0.8999999999999999,3,BayesianMAB,33.4,11.777568132306055,0.9293703333498978,0.04616103252646001,0.6237117580836264,0.06036393099434223,1.0
window,1.0,0.75,1,PianoMPC,15.3,2.4517567397911058,0.9621153846153847,0.04122348130512356,0.4296726923076924,0.034153647959885465,1.0
window,1.0,0.75,1,CCB-DF,22.3,2.0027758514399734,0.9359064124281515,0.032799172471980394,0.5018494521565392,0.02200027011347541,1.0
window,1.0,0.75,1,BayesianMAB,18.5,3.719318934070233,0.9505819327731093,0.059863889313218906,0.41352087804664783,0.1298424159482297,1.0
window,1.0,0.75,2,PianoMPC,19.9,3.2128215360057304,0.8944699528795639,0.044533146829081764,0.49259257767665715,0.02652243418028164,1.0
window,1.0,0.75,2,CCB-DF,31.6,4.742245131674331,0.9174476951771167,0.05470595206565181,0.532181572983464,0.0245801134836654,1.0
window,1.0,0.75,2,BayesianMAB,25.4,6.328067986711619,0.8990926298055454,0.0829719939977621,0.4880473464559737,0.09272015908939071,1.0
window,1.0,0.75,3,PianoMPC,23.0,2.260776661041756,0.9209977760607051,0.034715072218954215,0.503118297968241,0.019960581843106954,1.0
window,1.0,0.75,3,CCB-DF,43.6,10.221980673474631,0.9312126864429,0.048438520162892275,0.5204249075989196,0.03267930313299712,1.0
window,1.0,0.75,3,BayesianMAB,31.8,6.408327915038889,0.9196601131886328,0.05066611928013945,0.5004743970151541,0.08832712216731435,1.0
window,1.0,0.75,4,PianoMPC,29.7,5.755190893638735,0.9076805866767504,0.04084198062770761,0.5331911469604569,0.01687859090714014,1.0
window,1.0,0.75,4,CCB-DF,57.3,9.603818684946802,0.9141966255458698,0.02735279360345887,0.5353318249934043,0.018253090894346735,1.0
window,1.0,0.75,4,BayesianMAB,48.5,21.783020910791965,0.8983278360242366,0.055674800801676076,0.5161352604044465,0.06466036101622945,1.0
window,1.0,0.75,5,PianoMPC,30.5,7.749551958375114,0.8808565301425342,0.05242775056709886,0.5375368882673938,0.028269114971308296,1.0
window,1.0,0.75,5,CCB-DF,107.1,55.879731964679685,0.9288754501040059,0.041179624632005696,0.5296688732601329,0.02999218132899934,1.0
window,1.0,0.75,5,BayesianMAB,69.6,41.60181619966983,0.8980308895677865,0.045770542370567435,0.5204938571641171,0.10265834902409844,1.0
