agent,task_name,category,transfer_strength,enforce_constraint,enable_nonstationary,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
PianoMPC,basic-pbalanced-mweak,basic,weak,False,False,10,36.90947020168255,1.3034599785063634,0.0,0.0,7.32167307958502,0.7800948085351704,0.5619764357213446,0.010559190539646884,0.595002252633636,0.010671430589726687,-1.2483688143966325,0.038403036661803024,0.0,0.0,1.0,0.0,23.39002770855324,4.048132584035826,1.0,0.0,-31.443946900778325,11.100980430910392,0.41016684321803226,0.04432672659979243,43.0,4.381780460041329,0.4696091827597047,0.03923097028406198,43.0,4.381780460041329,43.0,4.381780460041329,31.443946900778325,-53.64605134230337,5.393358542544498,11.100980430910392
CCB-DF,basic-pbalanced-mweak,basic,weak,False,False,10,30.35917223991217,3.0254532916786276,0.0,0.0,7.912899424329692,0.3893929045329052,0.5398049865536848,0.019268125252822597,0.49252889282845347,0.029255867977533708,-1.3537314654121395,0.0759462823089884,0.0,0.0,1.0,0.0,26.202771487770896,5.369245967962594,1.0,0.0,-66.98231363003295,15.466588895695438,0.6156686190035565,0.07244690953047207,77.7,11.764777940955792,0.6536814439935419,0.06144809020354938,77.7,11.764777940955792,77.7,11.764777940955792,66.98231363003295,-104.519732923831,12.22078061577197,15.466588895695438
BayesianMAB,basic-pbalanced-mweak,basic,weak,False,False,10,31.246700740108885,3.28544776086067,0.0,0.0,7.644650209194677,0.6966814680353068,0.5148554476532381,0.07466979068187696,0.5185996311870146,0.03021857790386563,-1.306944810389553,0.06996166609491457,0.0,0.0,1.0,0.0,27.072529731277246,3.487963983185972,1.0,0.0,-38.869588111981464,11.865993432905746,0.48832211889732946,0.06882235266054681,49.2,10.156771140475698,0.5530149371793837,0.0632857584696293,49.2,10.156771140475698,49.2,10.156771140475698,38.869588111981464,-64.26429719590175,13.351354655095689,11.865993432905746
Thompson,basic-pbalanced-mweak,basic,weak,False,False,10,27.607303519421503,3.3138914133495976,0.0,0.0,7.358601683185074,0.4650954119258402,0.5467049235817595,0.01455195725339615,0.5189397511144703,0.024191284963840685,-1.2614206573982165,0.07652393100638454,0.0,0.0,1.0,0.0,26.582316810324293,1.9697919517253817,1.0,0.0,-60.22130742961998,15.719913457466417,0.5986008414451602,0.0647076433058773,71.2,10.943491216243563,0.6408801703946893,0.06119769257509217,71.2,10.943491216243563,71.2,10.943491216243563,60.22130742961998,-89.11520948226362,9.397715383763225,15.719913457466417
PianoMPC,basic-pbalanced-mmedium,basic,medium,False,False,10,38.97847114973654,2.6170821060715213,0.0,0.0,7.802066676255362,1.3627643859055376,0.5099994436621718,0.022023824164203103,0.6372152978126764,0.017809472096328605,-1.2018513468099332,0.03907152305223997,0.0,0.0,1.0,0.0,21.084437075428358,2.8649640178100855,1.0,0.0,-18.771466238802624,6.593926667803257,0.38774441568591206,0.07128330559119074,25.1,5.503635162326805,0.48164183933795635,0.03828397432226263,25.1,5.503635162326805,25.1,5.503635162326805,18.771466238802624,-29.985839049408224,5.670055661885752,6.593926667803257
CCB-DF,basic-pbalanced-mmedium,basic,medium,False,False,10,30.189422612178163,4.901709452410203,0.0,0.0,7.512945717016429,0.8435710309937107,0.5271688433986002,0.027137317060284737,0.503791025806558,0.038475172430163435,-1.312133812351144,0.10699110629474222,0.0,0.0,1.0,0.0,27.49147061904726,3.9760234383080273,1.0,0.0,-38.85565444449894,12.684501963424298,0.5849353659150116,0.11639509031900817,41.6,10.268398122394748,0.6554903965694534,0.07718139561193552,41.6,10.268398122394748,41.6,10.268398122394748,38.85565444449894,-53.559948517486056,8.953091635797511,12.684501963424298
BayesianMAB,basic-pbalanced-mmedium,basic,medium,False,False,10,32.34027541207708,4.889994965853433,0.0,0.0,8.044813318723097,1.2619506747066587,0.4838605643549835,0.07272168597599461,0.5521770338823392,0.03684099518180259,-1.2601317282948155,0.12952249222119405,0.0,0.0,1.0,0.0,27.244781964882872,4.666065859142023,1.0,0.0,-24.50331720499645,10.012288889991822,0.4533956665772596,0.10559246051787094,26.7,5.866003750424986,0.5887930991936601,0.09023762100230096,26.7,5.866003750424986,26.7,5.866003750424986,24.50331720499645,-33.52053624477863,7.600415793305316,10.012288889991822
Thompson,basic-pbalanced-mmedium,basic,medium,False,False,10,28.74701128836436,3.2515491548220306,0.0,0.0,7.360098222425845,1.0257089483510167,0.5330454336363943,0.03190060405607639,0.5420617722889964,0.028248232714789337,-1.227604635079655,0.08896874048639104,0.0,0.0,1.0,0.0,27.742292483798234,3.1123206955538074,1.0,0.0,-34.87449948364993,10.69879215172022,0.5935480475309671,0.07417452034151806,39.6,6.036555309114627,0.6759647672116005,0.04280957656158823,39.6,6.036555309114627,39.6,6.036555309114627,34.87449948364993,-48.15850943457788,4.842360035207905,10.69879215172022
PianoMPC,basic-pbalanced-mstrong,basic,strong,False,False,10,43.25267100458971,4.405383670806196,0.0,0.0,7.204369034220275,1.0301444428441096,0.4012941176470589,0.053038807036952886,0.6739188801219745,0.021885054548753894,-1.140147152882262,0.07802985955355192,0.0,0.0,1.0,0.0,21.72401231262406,4.520408500011478,1.0,0.0,-12.966984323808706,6.702812181459807,0.27758460657641487,0.07350794705991567,13.6,3.878143885933063,0.44281174740710405,0.02473903407941145,13.6,3.878143885933063,13.6,3.878143885933063,12.966984323808706,-15.339129875325511,3.758511943096038,6.702812181459807
CCB-DF,basic-pbalanced-mstrong,basic,strong,False,False,10,24.310487805292013,3.0624709341097756,0.0,0.0,7.515291614819081,1.0078951106958505,0.5018341190743172,0.030852069061386225,0.5504968832265359,0.0163491502362635,-1.1601062275990075,0.0669101728334933,0.0,0.0,1.0,0.0,30.303111649711177,4.133414968171977,1.0,0.0,-31.760431783485537,7.78542760998896,0.6638554939310766,0.057642954931976874,34.7,5.1778373863998475,0.7048348429901133,0.030295984338868175,34.7,5.1778373863998475,34.7,5.1778373863998475,31.760431783485537,-39.9866391563588,4.4593549130276084,7.78542760998896
